order_id,order_date,customer_id,region,channel,manager,category,product,quantity,discount,revenue,cost,rating,feedback_reason,response_time_hours,is_return,month,profit,margin_pct,has_problem,rating_group,nps_group
10001,2026-01-01,C01719,Москва,телефон,Ким В.В.,Компрессоры,Компрессор А-120,1,0.0,149099,110274,4,срок поставки,13,0,2026-01,38825,0.26,True,средняя,passive
10002,2026-01-01,C01409,Новосибирск,сайт,Кузнецов И.В.,Датчики,Датчик D-17,2,0.03,37027,23401,3,неполное описание,17,0,2026-01,13626,0.368,True,низкая,detractor
10003,2026-01-01,C00788,Санкт-Петербург,сайт,Новиков П.К.,Насосы,Насос Н-45,1,0.07,62447,46813,5,нет проблемы,7,0,2026-01,15634,0.25,False,высокая,promoter
10004,2026-01-01,C01456,Екатеринбург,телефон,Ким В.В.,Компрессоры,Компрессор А-120,4,0.03,595589,425254,5,нет проблемы,7,0,2026-01,170335,0.286,False,высокая,promoter
10005,2026-01-01,C00900,Екатеринбург,телефон,Федорова М.А.,Фильтры,Фильтр F-30,1,0.03,25357,17172,4,нет проблемы,19,0,2026-01,8185,0.323,False,средняя,passive
10006,2026-01-01,C00871,Москва,телефон,Федорова М.А.,Насосы,Насос Н-45,3,0.05,201955,149105,4,нет проблемы,7,0,2026-01,52850,0.262,False,средняя,passive
10007,2026-01-01,C00567,Казань,повторная продажа,Егорова Т.С.,Редукторы,Редуктор R-8,1,0.03,84691,66318,4,качество консультации,17,0,2026-01,18373,0.217,True,средняя,passive
10008,2026-01-01,C00470,Новосибирск,телефон,Федорова М.А.,Редукторы,Редуктор R-8,1,0.03,92395,71708,4,документы,12,0,2026-01,20687,0.224,True,средняя,passive
10009,2026-01-01,C02051,Екатеринбург,телефон,Алексеева Ю.С.,Контроллеры,Контроллер C-9,1,0.05,60165,39569,5,нет проблемы,7,0,2026-01,20596,0.342,False,высокая,promoter
10010,2026-01-01,C00003,Новосибирск,повторная продажа,Кузнецов И.В.,Компрессоры,Компрессор А-120,1,0.1,132775,93293,4,нет проблемы,8,0,2026-01,39482,0.297,False,средняя,passive
10011,2026-01-01,C00284,Новосибирск,сайт,Алексеева Ю.С.,Насосы,Насос Н-45,3,0.05,196645,146902,5,нет проблемы,13,0,2026-01,49743,0.253,False,высокая,promoter
