order_id,order_date,customer_id,region,channel,manager,category,product,quantity,discount,revenue,cost,rating,feedback_reason,response_time_hours,is_return
10001,2026-01-01,C01719,Москва,телефон,Ким В.В.,Компрессоры,Компрессор А-120,1,0,149099,110274,4,срок поставки,13,0
10002,2026-01-01,C01409,Новосибирск,сайт,Кузнецов И.В.,Датчики,Датчик D-17,2,0.03,37027,23401,3,неполное описание,17,0
10003,2026-01-01,C00788,Санкт-Петербург,сайт,Новиков П.К.,Насосы,Насос Н-45,1,0.07,62447,46813,5,нет проблемы,7,0
10004,2026-01-01,C01456,Екатеринбург,телефон,Ким В.В.,Компрессоры,Компрессор А-120,4,0.03,595589,425254,5,нет проблемы,7,0
10005,2026-01-01,C00900,Екатеринбург,телефон,Федорова М.А.,Фильтры,Фильтр F-30,1,0.03,25357,17172,4,нет проблемы,19,0
10006,2026-01-01,C00871,Москва,телефон,Федорова М.А.,Насосы,Насос Н-45,3,0.05,201955,149105,4,нет проблемы,7,0
10007,2026-01-01,C00567,Казань,повторная продажа,Егорова Т.С.,Редукторы,Редуктор R-8,1,0.03,84691,66318,4,качество консультации,17,0
10008,2026-01-01,C00470,Новосибирск,телефон,Федорова М.А.,Редукторы,Редуктор R-8,1,0.03,92395,71708,4,документы,12,0
10009,2026-01-01,C02051,Екатеринбург,телефон,Алексеева Ю.С.,Контроллеры,Контроллер C-9,1,0.05,60165,39569,5,нет проблемы,7,0
10010,2026-01-01,C00003,Новосибирск,повторная продажа,Кузнецов И.В.,Компрессоры,Компрессор А-120,1,0.1,132775,93293,4,нет проблемы,8,0
10011,2026-01-01,C00284,Новосибирск,сайт,Алексеева Ю.С.,Насосы,Насос Н-45,3,0.05,196645,146902,5,нет проблемы,13,0
10012,2026-01-01,C00824,Казань,сайт,Новиков П.К.,Редукторы,Редуктор R-8,3,0.03,254855,203532,5,нет проблемы,14,0
10013,2026-01-01,C00242,Казань,повторная продажа,Ким В.В.,Насосы,Насос Н-45,1,0.1,64297,48055,2,качество консультации,11,1
10014,2026-01-01,C00780,Москва,сайт,Петров М.С.,Компрессоры,Компрессор А-120,1,0.05,141474,99839,2,неполное описание,26,0
10015,2026-01-01,C01838,Санкт-Петербург,почта,Сидорова Н.К.,Компрессоры,Компрессор А-120,1,0,149022,110903,2,цена,32,0
